Website URL,Cookie Names,Domain,Host,Purpose,Description,Cookie URL,Is Secure,Is HTTP only?,Path
https://cookiepedia.co.uk/host/active-agent.com,googleUserId,Unknown,Unknown,Unknown,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/googleUserId,No,No,/ 
https://cookiepedia.co.uk/host/active-agent.com,userid,Unknown,Unknown,Unknown,user,https://cookiepedia.co.uk/cookies/userid,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,auid,Unknown,Unknown,Targeting/Advertising,This cookie is used to hold the advertising ID of a user on a mobile device. It is used for tracking user actions.,https://cookiepedia.co.uk/cookies/auid,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,aum,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/aum,Yes,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,awxxxx,Unknown,Unknown,Targeting/Advertising,Used to attribute commission to affiliates when you arrive at the website from an affiliate referral link. It is set when you click on one of our links and used to let the advertiser and us know the website from which you came.,https://cookiepedia.co.uk/cookies/awxxxx,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,axuid,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/axuid,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,banner-14,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/banner-14,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,banner-15,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/banner-15,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,banner-2001,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/banner-2001,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,banner-4,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/banner-4,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-10,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-10,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-113,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-113,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-15,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-15,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-18,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-18,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-19,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-19,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-23,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-23,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-29,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-29,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-33,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-33,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-4,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-4,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-42,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-42,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-49,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-49,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-5,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-5,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-55,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-55,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-57,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-57,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-6,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-6,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-60,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-60,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-8,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-8,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-84,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-84,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-90,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-90,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-banner-92,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-banner-92,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1007,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1007,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1053,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1053,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1054,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1054,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1056,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1056,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-106,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-106,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1073,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1073,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1081,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1081,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1083,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1083,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1087,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1087,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1089,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1089,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1114,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1114,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1124,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1124,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-113,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-113,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1130,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1130,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1141,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1141,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1176,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1176,No,No,/ 
https://cookiepedia.co.uk/host/acuityplatform.com,BEX-bv-1177,Unknown,Unknown,Targeting/Advertising,"There is not yet any general information about this cookie based on its name only. If you have any information about this cookie, please get in touch.",https://cookiepedia.co.uk/cookies/BEX-bv-1177,No,No,/ 
